Dep_ID,Location,Species,Date_deployed,Time_deployed,Date_retreived,Time_retreived,GPS,TDR,Bill_length [mm],Bill_depth [mm],Weight_deployment [kg],Weight_return [kg],Sex,Stage [a],Nest_on_dep [b],Nest_on_return,Notes,Nest_lat [deg N],Nest_lon [deg E]
MIC018,"South Orkneys, Monroe Island",Chinstrap penguin,04/01/2016,16:00,12/01/2016,01:00,65266,0237,49.5,17.8,4.1,4.45,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC019,"South Orkneys, Monroe Island",Chinstrap penguin,04/01/2016,16:00,09/01/2016,17:00,29640,0227,49.5,15.1,3.6,3.6,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC020,"South Orkneys, Monroe Island",Chinstrap penguin,05/01/2016,16:00,15/01/2016,13:00,65237,0226,51.6,18.5,4.6,4.6,NaN,NaN,Eggs - 2,Eggs - 2,Didn't go to sea until 11/01/2016 - so probably increased by 300 g,NaN,NaN
MIC021,"South Orkneys, Monroe Island",Chinstrap penguin,05/01/2016,16:00,10/01/2016,12:00,65292,0301,51.4,19.2,4.3,4.8,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
MIC022,"South Orkneys, Monroe Island",Chinstrap penguin,12/01/2016,13:00,17/01/2016,15:00,29460,0227,48,19.2,3.9,4.15,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC023,"South Orkneys, Monroe Island",Chinstrap penguin,12/01/2016,13:00,16/01/2016,15:00,65307,0294,43.6,16.6,3.9,3.6,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC024,"South Orkneys, Monroe Island",Chinstrap penguin,16/01/2016,14:00,17/01/2016,23:00,65318,0236,46.4,18.4,3.65,3.65,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC025,"South Orkneys, Monroe Island",Chinstrap penguin,16/01/2016,14:00,19/01/2016,18:00,65237,0226,50.4,19.6,4.15,4.65,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC026,"South Orkneys, Monroe Island",Chinstrap penguin,16/01/2016,14:00,18/01/2016,14:00,65266,0237,53,20.7,4.2,4.15,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC027,"South Orkneys, Monroe Island",Chinstrap penguin,17/01/2016,14:00,19/01/2016,18:00,65307,0294,52.2,18,4.5,4.65,NaN,NaN,Chicks - 2,Chicks - 1,NaN,NaN,NaN
MIC028,"South Orkneys, Monroe Island",Chinstrap penguin,17/01/2016,14:00,18/01/2016,21:00,65292,0301,47.3,16.4,4.3,4.7,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC029,"South Orkneys, Monroe Island",Chinstrap penguin,17/01/2016,14:00,18/01/2016,21:00,29478,0231,45.2,16.6,3.95,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC030,"South Orkneys, Monroe Island",Chinstrap penguin,18/01/2016,14:00,19/01/2016,23:00,29640,0227,48.8,16.6,3.95,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC031,"South Orkneys, Monroe Island",Chinstrap penguin,18/01/2016,14:00,19/01/2016,18:00,65318,0236,45.5,15.6,3.45,3.45,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC032,"South Orkneys, Monroe Island",Chinstrap penguin,20/01/2016,14:00,21/01/2016,15:00,65266,0237,49.4,18.7,4.35,4.9,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC033,"South Orkneys, Monroe Island",Chinstrap penguin,20/01/2016,14:00,21/01/2016,22:00,65292,0301,52.3,19,4.5,4.9,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC034,"South Orkneys, Monroe Island",Chinstrap penguin,20/01/2016,14:00,21/01/2016,22:00,65318,0236,53.5,21.4,4.25,5,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC035,"South Orkneys, Monroe Island",Chinstrap penguin,21/01/2016,14:00,22/01/2016,23:00,29640,0227,47.5,18.2,3.7,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC036,"South Orkneys, Monroe Island",Chinstrap penguin,21/01/2016,14:00,22/01/2016,19:00,65307,0294,43.6,17.7,3.7,4.15,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC037,"South Orkneys, Monroe Island",Chinstrap penguin,21/01/2016,14:00,23/01/2016,18:00,65237,0226,48,18.5,4,4.35,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC038,"South Orkneys, Monroe Island",Chinstrap penguin,22/01/2016,14:00,23/01/2016,18:00,65266,0237,46.8,19.3,3.85,4.35,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC039,"South Orkneys, Monroe Island",Chinstrap penguin,22/01/2016,14:00,24/01/2016,23:00,65318,0236,48.9,16.4,4.15,4.8,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC040,"South Orkneys, Monroe Island",Chinstrap penguin,22/01/2016,14:00,23/01/2016,23:00,65292,0301,43.7,17.1,3.9,4.3,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC041,"South Orkneys, Monroe Island",Chinstrap penguin,23/01/2016,14:00,24/01/2016,21:00,65307,0294,44.3,18.3,3.5,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC042,"South Orkneys, Monroe Island",Chinstrap penguin,23/01/2016,14:00,24/01/2016,21:00,29478,0231,49.1,16.5,3.7,4.15,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC043,"South Orkneys, Monroe Island",Chinstrap penguin,26/01/2016,14:30,27/01/2016,14:30,65307,0294,49.7,18,4.1,4.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC044,"South Orkneys, Monroe Island",Chinstrap penguin,26/01/2016,14:30,27/01/2016,14:30,65292,0301,45.9,17.7,4,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC045,"South Orkneys, Monroe Island",Chinstrap penguin,26/01/2016,14:30,27/01/2016,19:00,65318,0236,45,16.7,4.15,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC046,"South Orkneys, Monroe Island",Chinstrap penguin,27/01/2016,14:30,29/01/2016,15:00,29640,0227,45.2,17.2,4.35,4.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC047,"South Orkneys, Monroe Island",Chinstrap penguin,27/01/2016,14:30,28/01/2016,13:00,65266,0237,48.8,19.8,4.15,4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC048,"South Orkneys, Monroe Island",Chinstrap penguin,27/01/2016,14:30,28/01/2016,13:00,65237,0226,52,19.3,4.5,4.3,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC049,"South Orkneys, Monroe Island",Chinstrap penguin,28/01/2016,13:30,29/01/2016,19:00,65318,0236,51,19.2,4.15,4.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC050,"South Orkneys, Monroe Island",Chinstrap penguin,28/01/2016,13:30,29/01/2016,21:00,65292,0301,52.2,18.2,4.05,4.4,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC051,"South Orkneys, Monroe Island",Chinstrap penguin,28/01/2016,13:30,29/01/2016,19:00,65307,0294,50.4,20.3,3.9,3.8,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC052,"South Orkneys, Monroe Island",Chinstrap penguin,29/01/2016,14:00,30/01/2016,16:00,29478,0231,52.2,20.3,4.45,4.45,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC053,"South Orkneys, Monroe Island",Chinstrap penguin,29/01/2016,14:00,30/01/2016,16:00,65266,0237,46.7,17.6,4.05,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
MIC054,"South Orkneys, Monroe Island",Chinstrap penguin,01/02/2016,15:00,02/02/2016,16:00,65292,0301,49.3,18.6,3.9,3.9,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC055,"South Orkneys, Monroe Island",Chinstrap penguin,01/02/2016,15:00,02/02/2016,22:00,29640,0227,44.6,16.2,3.5,3.6,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC056,"South Orkneys, Monroe Island",Chinstrap penguin,01/02/2016,15:00,03/02/2016,23:30,65266,0237,49.3,18.8,3.5,4.1,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC057,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,12:15,05/02/2016,14:00,29640,0227,49.1,16.2,3.8,4.25,NaN,NaN,Chicks - 2,Chicks - 1,Creche,NaN,NaN
MIC058,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,12:15,06/02/2016,14:00,29478,0231,47.1,16.3,3.5,3.6,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC059,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,12:15,04/02/2016,14:00,65292,0301,51,18.9,3.9,4,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC060,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,15:15,05/02/2016,14:00,65320,0233,49.6,17.8,3.85,4.2,NaN,NaN,Chicks - 2,Chicks - 2,Creche; GPS stopped working one hour after deployment,NaN,NaN
MIC061,"South Orkneys, Monroe Island",Chinstrap penguin,03/02/2016,15:15,10/02/2016,19:00,65307,0294,45.7,15.3,3.5,3.7,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC062,"South Orkneys, Monroe Island",Chinstrap penguin,04/02/2016,18:00,06/02/2016,14:00,65266,0237,55,18.7,4,4,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC063,"South Orkneys, Monroe Island",Chinstrap penguin,04/02/2016,18:00,05/02/2016,14:00,65292,0301,48.1,19.1,3.6,3.85,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC064,"South Orkneys, Monroe Island",Chinstrap penguin,07/02/2016,13:30,08/02/2016,20:00,29478,0231,44.8,21.9,4.3,3.9,NaN,NaN,Chicks - 1,Chicks - 1,Creche,NaN,NaN
MIC065,"South Orkneys, Monroe Island",Chinstrap penguin,07/02/2016,13:30,08/02/2016,20:00,29640,0227,48.2,16.5,4.05,3.8,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
MIC066,"South Orkneys, Monroe Island",Chinstrap penguin,07/02/2016,13:30,08/02/2016,20:00,65292,0301,46.2,16.7,3.55,3.75,NaN,NaN,Chicks - 2,Chicks - 2,Creche,NaN,NaN
PIC001,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29478,0153,46.1,19.2,3.8,4.45,NaN,NaN,Eggs - 2,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC002,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29476,0154,49.2,16.8,3.2,3.8,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
PIC003,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29466,0147,44,17.1,3.2,4,NaN,NaN,Eggs - 2,Eggs - 2,Sheathbill took one egg on recovery,NaN,NaN
PIC004,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29493,0151,42.2,16.7,3.5,4.1,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
PIC005,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29497,0159,42.4,19.1,3.8,4,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
PIC006,"South Orkneys, Laurie Island",Chinstrap penguin,29/12/2013,11:00,NaN,NaN,29462,0152,46.1,18.2,3.1,3.95,NaN,NaN,Eggs - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC007,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29498,0148,51.4,19,4.55,4.6,NaN,NaN,Eggs - 2,Chicks - 1; Pipping - 1,NaN,NaN,NaN
PIC008,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29452,0158,54.2,18.3,4.1,5,NaN,NaN,Eggs - 2,Pipping - 1; Eggs - 1,NaN,NaN,NaN
PIC009,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29494,02800,42,17.3,3.8,4.6,NaN,NaN,Eggs - 2,Pipping - 1; Eggs - 1,NaN,NaN,NaN
PIC010,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29475,0157,45.3,16.6,3.7,4,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
PIC011,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29640,2800,47,15.8,3.8,4.15,NaN,NaN,Eggs - 2,Pipping - 1; Eggs - 1,NaN,NaN,NaN
PIC012,"South Orkneys, Laurie Island",Chinstrap penguin,30/12/2013,13:00,NaN,NaN,29609,0149,46.3,17.4,3.95,4.8,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
PIC013,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29498,0157,48.1,17.2,4.6,4.2,NaN,NaN,Eggs - 2,Chicks - 1; Eggs - 1,NaN,NaN,NaN
PIC014,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29475,1551,48,17.7,3.9,4.2,NaN,NaN,Chicks - 2,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC015,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29452,0158,44.8,15.9,4,4.05,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC016,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29640,1546,54.2,19,5.15,5.15,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC017,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29494,1549,47.1,16.5,4.1,4.35,NaN,NaN,Chicks - 2,Chicks - 2,Recovered early as tag falling off,NaN,NaN
PIC018,"South Orkneys, Laurie Island",Chinstrap penguin,01/05/2014,10:30,NaN,NaN,29609,0148,48.4,16.4,3.8,3.8,NaN,NaN,Eggs - 2,Chicks - 2,NaN,NaN,NaN
PIC019,"South Orkneys, Laurie Island",Chinstrap penguin,01/07/2014,16:30,NaN,NaN,29478,0147,53.6,17.2,3.9,3.9,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC020,"South Orkneys, Laurie Island",Chinstrap penguin,01/07/2014,16:30,NaN,NaN,29497,0149,53.4,18.3,4.1,4.7,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC021,"South Orkneys, Laurie Island",Chinstrap penguin,01/07/2014,16:30,NaN,NaN,29466,0154,48.2,18.9,4.4,4.55,NaN,NaN,Eggs - 2,Chicks - 1; Eggs - 1,NaN,NaN,NaN
PIC022,"South Orkneys, Laurie Island",Chinstrap penguin,01/07/2014,16:30,NaN,NaN,29607,1549,48.9,18,3.8,4.1,NaN,NaN,Chicks - 1; Eggs - 1,Chicks - 2,NaN,NaN,NaN
PIC023,"South Orkneys, Laurie Island",Chinstrap penguin,01/07/2014,16:30,NaN,NaN,29494,0159,51.4,17.8,4.05,4.35,NaN,NaN,Pipping - 1; Eggs - 1,Chicks - 2,NaN,NaN,NaN
PIC024,"South Orkneys, Laurie Island",Chinstrap penguin,01/08/2014,16:30,NaN,NaN,29476,0153,47.3,17.7,4.15,4.15,NaN,NaN,Chicks - 1; Eggs - 1,Chicks - 1; Eggs - 1,NaN,NaN,NaN
PIC025,"South Orkneys, Laurie Island",Chinstrap penguin,01/11/2014,12:30,NaN,NaN,29640,1546,46,14.9,3.8,3.95,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC026,"South Orkneys, Laurie Island",Chinstrap penguin,01/11/2014,12:30,NaN,NaN,29475,0158,54.2,18.8,3.95,4.45,NaN,NaN,Chicks - 1; Eggs - 1,Chicks - 1; Eggs - 1,NaN,NaN,NaN
PIC027,"South Orkneys, Laurie Island",Chinstrap penguin,01/11/2014,12:30,NaN,NaN,29498,0151,51.5,18.5,4.5,4.6,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC028,"South Orkneys, Laurie Island",Chinstrap penguin,01/11/2014,12:30,NaN,NaN,29462,0157,47.3,18.1,4.55,5.45,NaN,NaN,Eggs - 2,Eggs - 2,NaN,NaN,NaN
PIC029,"South Orkneys, Laurie Island",Chinstrap penguin,01/11/2014,12:30,NaN,NaN,29452,0152,46.3,18.2,4.95,4.6,NaN,NaN,Chicks - 1; Eggs - 1,Chicks - 2,NaN,NaN,NaN
PIC030,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2013,16:30,NaN,NaN,29466,0154,54.5,17.1,4.1,3.8,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC031,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2013,16:30,NaN,NaN,29476,0159,50.4,17.6,4.25,4.5,NaN,NaN,Eggs - 1; Failed - 1,Eggs - 1; Failed - 1,NaN,NaN,NaN
PIC032,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2013,16:30,NaN,NaN,29494,0147,47.3,16.7,4.15,4.4,NaN,NaN,Chicks - 1; Eggs - 1,Chicks - 2,NaN,NaN,NaN
PIC033,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2013,16:30,NaN,NaN,29609,0153,46.5,17.4,4.4,4.25,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC034,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2013,16:30,NaN,NaN,29607,1549,49,17.4,4.15,3.9,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC035,"South Orkneys, Laurie Island",Chinstrap penguin,13/01/2013,16:30,NaN,NaN,29478,0148,50,18.2,4.45,4.6,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC036,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2014,16:00,NaN,NaN,29475,0151,43.6,20.7,4.15,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC037,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2014,16:00,NaN,NaN,29497,0157,48.5,17.1,3.95,4.45,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC038,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2014,16:00,NaN,NaN,29476,0149,48.5,18.6,4.2,4.4,NaN,NaN,Chicks - 1; Failed - 1,Failed,NaN,NaN,NaN
PIC039,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2014,16:00,NaN,NaN,29462,0154,48.2,16.5,3.85,3.85,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC040,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2014,16:00,NaN,NaN,29452,0152,52.6,17,4.45,4.35,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC041,"South Orkneys, Laurie Island",Chinstrap penguin,19/01/2014,16:00,NaN,NaN,29498,0148,54.1,17.5,4.2,4.15,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC042,"South Orkneys, Laurie Island",Chinstrap penguin,20/01/2014,16:00,NaN,NaN,29466,0158,48.7,16.3,4.3,4.25,NaN,NaN,Chicks - 1; Eggs - 1,Eggs - 1; Failed - 1,NaN,NaN,NaN
PIC043,"South Orkneys, Laurie Island",Chinstrap penguin,20/01/2014,16:00,NaN,NaN,29607,0147,53.7,18.9,4.45,4.25,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC044,"South Orkneys, Laurie Island",Chinstrap penguin,20/01/2014,16:00,NaN,NaN,29494,0153,51.3,17,4.2,4.2,NaN,NaN,Chicks abandoned,Chicks abandoned,NaN,NaN,NaN
PIC045,"South Orkneys, Laurie Island",Chinstrap penguin,20/01/2014,16:00,NaN,NaN,29609,1549,48.4,16.7,3.9,3.75,NaN,NaN,Chicks - 1; Failed - 1,Chicks - 1; Failed - 1,NaN,NaN,NaN
PIC046,"South Orkneys, Laurie Island",Chinstrap penguin,21/01/2014,16:00,NaN,NaN,29640,1546,48.3,19.1,3.9,3.9,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC047,"South Orkneys, Laurie Island",Chinstrap penguin,25/01/2014,18:30,NaN,NaN,29476,0159,45,16.9,3.8,3.75,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC048,"South Orkneys, Laurie Island",Chinstrap penguin,25/01/2014,18:30,NaN,NaN,29452,0147,51,17.5,4.15,3.8,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC049,"South Orkneys, Laurie Island",Chinstrap penguin,25/01/2014,18:30,NaN,NaN,29607,1546,53.3,19.5,4,4.05,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC050,"South Orkneys, Laurie Island",Chinstrap penguin,25/01/2014,18:30,NaN,NaN,29498,0153,49.6,17.1,4.25,4.7,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC051,"South Orkneys, Laurie Island",Chinstrap penguin,26/01/2014,11:00,NaN,NaN,29497,0149,47,21.3,4.2,4.05,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC052,"South Orkneys, Laurie Island",Chinstrap penguin,26/01/2014,11:00,NaN,NaN,29640,0148,44.8,18.2,3.9,4.45,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC053,"South Orkneys, Laurie Island",Chinstrap penguin,26/01/2014,11:00,NaN,NaN,29478,0157,44,17.9,3.85,3.95,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC054,"South Orkneys, Laurie Island",Chinstrap penguin,26/01/2014,11:00,NaN,NaN,29462,0154,49.3,16,3.95,3.95,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC055,"South Orkneys, Laurie Island",Chinstrap penguin,26/01/2014,11:00,NaN,NaN,29466,0158,47,18.4,4.35,4.65,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC056,"South Orkneys, Laurie Island",Chinstrap penguin,26/01/2014,18:00,NaN,NaN,29475,0151,51.3,17,4.25,4.25,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC057,"South Orkneys, Laurie Island",Chinstrap penguin,30/01/2014,16:00,NaN,NaN,29462,0147,44.9,18.4,4.45,4.45,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC058,"South Orkneys, Laurie Island",Chinstrap penguin,30/01/2014,16:00,NaN,NaN,29452,0151,46.4,16.8,3.7,3.5,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC059,"South Orkneys, Laurie Island",Chinstrap penguin,30/01/2014,16:00,NaN,NaN,29475,0158,48.4,15.1,4.15,3.6,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC060,"South Orkneys, Laurie Island",Chinstrap penguin,31/01/2014,17:00,NaN,NaN,29460,0154,50.2,20.4,4.6,4.2,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC061,"South Orkneys, Laurie Island",Chinstrap penguin,31/01/2014,17:00,NaN,NaN,29498,0148,51.5,17,3.6,3.6,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC062,"South Orkneys, Laurie Island",Chinstrap penguin,31/01/2014,17:00,NaN,NaN,29607,0153,53.3,18.1,3.9,4.55,NaN,NaN,Chicks - 2,Creche,NaN,NaN,NaN
PIC063,"South Orkneys, Laurie Island",Chinstrap penguin,31/01/2014,17:00,NaN,NaN,29478,0149,47.5,19.6,4.65,4.1,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC064,"South Orkneys, Laurie Island",Chinstrap penguin,31/01/2014,17:00,NaN,NaN,29497,0157,50.3,19.6,4.1,3.9,NaN,NaN,Chicks - 2,Chicks - 2,NaN,NaN,NaN
PIC065,"South Orkneys, Laurie Island",Chinstrap penguin,02/04/2014,11:30,NaN,NaN,29640,0157,48.5,17.5,3.75,3.95,NaN,NaN,Creche,Creche,NaN,NaN,NaN
PIC066,"South Orkneys, Laurie Island",Chinstrap penguin,02/04/2014,17:00,NaN,NaN,29452,0148,47.3,16.5,3.65,3.6,NaN,NaN,Creche,Creche,NaN,NaN,NaN
PIC067,"South Orkneys, Laurie Island",Chinstrap penguin,02/04/2014,17:00,NaN,NaN,29498,0149,50.3,16,3.75,3.85,NaN,NaN,Creche,Creche,NaN,NaN,NaN
PIC068,"South Orkneys, Laurie Island",Chinstrap penguin,02/04/2014,17:00,NaN,NaN,29478,0151,49.2,16.8,3.85,3.9,NaN,NaN,Creche,Creche,NaN,NaN,NaN
